hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0053896,다이내믹포스,20230422,수,0035885,다이나믹스타,0038385,티즈어리틀위치,,,API8_2
0053021,다이아비트,20230225,수,0038227,크리솔라이트,0033371,몬스터퀸,,,API8_2
0055972,다크문,20240330,암,0027443,컬러즈플라잉,0052759,오섬매그놀리아,,,API8_2
0046127,달맞이,20200420,수,0036735,디바인파크,0036662,캐리비안레인,,,API8_2
0047268,당대초월,20210225,거,0045050,섀클포드,0015670,황금물결,,,API8_2
0053110,대동용마,20230317,수,7000060,나이트러스,0031633,듀앨폭풍,,,API8_2
0056640,대발,20240214,암,0041566,투아너앤드서브,0028571,태산번쩍,,,API8_2
0052978,대비마마,20230222,암,0050506,에어포스블루,0040749,미스아델,,,API8_2
0044821,대사리,20190413,거,0040056,아치아치아치,0025043,뷰티이천,,,API8_2
0051756,대성스타,20220414,수,0038387,콩코드포인트,0026083,북대풍,,,API8_2
0056228,대여명,20240422,수,0050506,에어포스블루,0033894,골드패션,,,API8_2
0056321,대용마,20240405,수,0038227,크리솔라이트,0042611,청담위키드,,,API8_2
1412289,대원용마,20210228,거,0041566,투아너앤드서브,0029640,다이아파워,,,API8_2
0053778,대한시대,20230409,수,0038391,카우보이칼,0030503,검화,,,API8_2
0055190,대한여전사,20240225,암,0037972,올드패션드,0029417,셀시,,,API8_2
0061569,대한의영웅,20240220,수,6149753,GREATEST HONOUR,7022474,KELANI KIM,,,API8_2
0042821,대한질주,20180428,수,6323689,CONGRATS,0040228,라이트유어월드,,,API8_2
0050809,대한코코즈,20220329,암,0038245,미스치비어슬리,0044765,코코즈레디포듀티,,,API8_2
0053737,대한파워,20230412,수,0033566,파워블레이드,0022890,탱고스텝,,,API8_2
0046016,대흥클래스,20200326,수,0038387,콩코드포인트,0029041,록오브선더,,,API8_2
0054049,댄싱위즈,20210418,수,6965458,KANTHAROS,6124614,STEELY MAGNOLIA,,,API8_2
0061941,더로드,20240225,수,6126919,ROADSTER,6126132,COMMENTARY,,,API8_2
0054476,더선몬스터,20220307,수,0038227,크리솔라이트,0028635,윈드레토,,,API8_2
0053439,더선불사조,20230422,암,0039216,킹삭스,0046493,스톰커밍,,,API8_2
0053211,더선스토리,20230310,암,0045050,섀클포드,0046492,엘루시브액트,,,API8_2
0053217,더선아미르,20230316,암,0039216,킹삭스,0050405,쉬즈트리키,,,API8_2
0056784,더선커밍,20220428,수,0038391,카우보이칼,0046493,스톰커밍,,,API8_2
0061576,더선코리아,20240408,수,6149602,VOLATILE,6791561,TASLEY,,,API8_2
0047018,더선파이터,20210424,수,6109237,EXAGGERATOR,0046493,스톰커밍,,,API8_2
0053540,더엑설런트,20230318,수,0037674,뉴레전드,0033092,딜라이트펄송,,,API8_2
0061537,더원픽,20240412,수,7000176,SILVER STATE,7085153,PEPPER POT,,,API8_2
0053433,더퀸로즈,20230416,암,0045050,섀클포드,0032351,더퀸실버,,,API8_2
0054520,더클래식,20230507,수,0038387,콩코드포인트,0033032,패티즈스위트송,,,API8_2
0055361,더프린스,20240302,수,0054840,클래식엠파이어,0055088,스카이트레일,,,API8_2
1412303,더플레이어,20210312,거,0038387,콩코드포인트,0028968,나우코프위드디스,,,API8_2
0052913,델타대천,20230127,암,0038391,카우보이칼,0042317,실버햄튼,,,API8_2
0053824,델타이글,20230414,암,0027443,컬러즈플라잉,0034457,진명스나이퍼,,,API8_2
0053874,델타최강,20230421,거,0038387,콩코드포인트,0036296,런키튼런,,,API8_2
0046782,도끼드래곤,20210319,거,0033566,파워블레이드,0041951,진저러시,,,API8_2
0053383,동백,20230410,암,0031028,언비터블,0031390,슈퍼갤러퍼,,,API8_2
0054309,동진비룡,20230514,거,0038245,미스치비어슬리,0033106,프러클레임,,,API8_2
0053273,동진비상,20230330,암,6975312,KARAKONTIE,0052751,디어원,,,API8_2
0050104,동키플레이,20210409,암,0021239,연승대로,0034633,투스텝삼바,,,API8_2
0051649,두레이쇼,20220423,암,0032990,한센,0040235,아가워,,,API8_2
0052901,두손라이프,20230224,수,0045009,자이언트런,0034463,프로폴리스,,,API8_2
0051521,두손으뜸,20220327,암,0041566,투아너앤드서브,0045003,레드리본,,,API8_2
0055281,두움,20240301,거,0041813,미스터크로우,0050360,저스트어플래시,,,API8_2
